2022-12-31 21:39:11,029 p=57329 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] *****************************************************************************************************************************
            "OpenWrt",
            "miniprox.lan",
            "pikvm.home.lan"
        ]
    }
}
2023-01-17 22:05:39,828 p=41171 u=craig n=ansible |  [ERROR]: User interrupted execution

2023-01-17 22:06:46,938 p=43670 u=craig n=ansible | {
    "_meta": {
        "hostvars": {
            "192.168.1.112": {
                "ip": "192.168.1.112",
                "name": "192.168.1.112"
            },
            "192.168.1.113": {
                "ip": "192.168.1.113",
                "name": "192.168.1.113"
            },
            "192.168.1.120": {
                "ip": "192.168.1.120",
                "name": "192.168.1.120"
            },
            "192.168.1.130": {
                "ip": "192.168.1.130",
                "name": "192.168.1.130"
            },
            "192.168.1.145": {
                "ip": "192.168.1.145",
                "name": "192.168.1.145"
            },
            "192.168.1.170": {
                "ip": "192.168.1.170",
                "name": "192.168.1.170"
            },
            "192.168.1.2": {
                "ip": "192.168.1.2",
                "name": "192.168.1.2"
            },
            "192.168.1.209": {
                "ip": "192.168.1.209",
                "name": "192.168.1.209"
            },
            "192.168.1.219": {
                "ip": "192.168.1.219",
                "name": "192.168.1.219"
            },
            "192.168.1.99": {
                "ip": "192.168.1.99",
                "name": "192.168.1.99"
            },
            "MBP.lan": {
                "ip": "192.168.1.100",
                "name": "MBP.lan"
            },
            "OpenWrt": {
                "ip": "192.168.1.1",
                "name": "OpenWrt"
            },
            "miniprox.lan": {
                "ip": "192.168.1.97",
                "name": "miniprox.lan"
            },
            "pikvm.home.lan": {
                "ip": "192.168.1.87",
                "name": "pikvm.home.lan"
            }
        }
    },
    "all": {
        "children": [
            "ungrouped"
        ]
    },
    "ungrouped": {
        "hosts": [
            "192.168.1.112",
            "192.168.1.113",
            "192.168.1.120",
            "192.168.1.130",
            "192.168.1.145",
            "192.168.1.170",
            "192.168.1.2",
            "192.168.1.209",
            "192.168.1.219",
            "192.168.1.99",
            "MBP.lan",
            "OpenWrt",
            "miniprox.lan",
            "pikvm.home.lan"
        ]
    }
}
2023-01-17 22:08:28,752 p=43864 u=craig n=ansible | {
    "_meta": {
        "hostvars": {
            "192.168.1.112": {
                "ip": "192.168.1.112",
                "name": "192.168.1.112"
            },
            "192.168.1.113": {
                "ip": "192.168.1.113",
                "name": "192.168.1.113"
            },
            "192.168.1.120": {
                "ip": "192.168.1.120",
                "name": "192.168.1.120"
            },
            "192.168.1.130": {
                "ip": "192.168.1.130",
                "name": "192.168.1.130"
            },
            "192.168.1.145": {
                "ip": "192.168.1.145",
                "name": "192.168.1.145"
            },
            "192.168.1.170": {
                "ip": "192.168.1.170",
                "name": "192.168.1.170"
            },
            "192.168.1.2": {
                "ip": "192.168.1.2",
                "name": "192.168.1.2"
            },
            "192.168.1.99": {
                "ip": "192.168.1.99",
                "name": "192.168.1.99"
            },
            "MBP.lan": {
                "ip": "192.168.1.100",
                "name": "MBP.lan"
            },
            "OpenWrt": {
                "ip": "192.168.1.1",
                "name": "OpenWrt"
            },
            "miniprox.lan": {
                "ip": "192.168.1.97",
                "name": "miniprox.lan"
            },
            "pikvm.home.lan": {
                "ip": "192.168.1.87",
                "name": "pikvm.home.lan"
            }
        }
    },
    "all": {
        "children": [
            "ungrouped"
        ]
    },
    "ungrouped": {
        "hosts": [
            "192.168.1.112",
            "192.168.1.113",
            "192.168.1.120",
            "192.168.1.130",
            "192.168.1.145",
            "192.168.1.170",
            "192.168.1.2",
            "192.168.1.99",
            "MBP.lan",
            "OpenWrt",
            "miniprox.lan",
            "pikvm.home.lan"
        ]
    }
}
2023-01-18 21:06:26,239 p=90651 u=craig n=ansible | {
    "_meta": {
        "hostvars": {
            "192.168.1.112": {
                "ip": "192.168.1.112",
                "name": "192.168.1.112"
            },
            "192.168.1.113": {
                "ip": "192.168.1.113",
                "name": "192.168.1.113"
            },
            "192.168.1.120": {
                "ip": "192.168.1.120",
                "name": "192.168.1.120"
            },
            "192.168.1.145": {
                "ip": "192.168.1.145",
                "name": "192.168.1.145"
            },
            "192.168.1.170": {
                "ip": "192.168.1.170",
                "name": "192.168.1.170"
            },
            "192.168.1.2": {
                "ip": "192.168.1.2",
                "name": "192.168.1.2"
            },
            "192.168.1.209": {
                "ip": "192.168.1.209",
                "name": "192.168.1.209"
            },
            "192.168.1.219": {
                "ip": "192.168.1.219",
                "name": "192.168.1.219"
            },
            "192.168.1.99": {
                "ip": "192.168.1.99",
                "name": "192.168.1.99"
            },
            "MBP.lan": {
                "ip": "192.168.1.100",
                "name": "MBP.lan"
            },
            "OpenWrt": {
                "ip": "192.168.1.1",
                "name": "OpenWrt"
            },
            "miniprox.lan": {
                "ip": "192.168.1.97",
                "name": "miniprox.lan"
            },
            "pikvm.home.lan": {
                "ip": "192.168.1.87",
                "name": "pikvm.home.lan"
            }
        }
    },
    "all": {
        "children": [
            "ungrouped"
        ]
    },
    "ungrouped": {
        "hosts": [
            "192.168.1.112",
            "192.168.1.113",
            "192.168.1.120",
            "192.168.1.145",
            "192.168.1.170",
            "192.168.1.2",
            "192.168.1.209",
            "192.168.1.219",
            "192.168.1.99",
            "MBP.lan",
            "OpenWrt",
            "miniprox.lan",
            "pikvm.home.lan"
        ]
    }
}
2023-01-18 21:12:07,550 p=91267 u=craig n=ansible | {
    "_meta": {
        "hostvars": {
            "192.168.1.112": {
                "ip": "192.168.1.112",
                "name": "192.168.1.112"
            },
            "192.168.1.113": {
                "ip": "192.168.1.113",
                "name": "192.168.1.113"
            },
            "192.168.1.120": {
                "ip": "192.168.1.120",
                "name": "192.168.1.120"
            },
            "192.168.1.145": {
                "ip": "192.168.1.145",
                "name": "192.168.1.145"
            },
            "192.168.1.170": {
                "ip": "192.168.1.170",
                "name": "192.168.1.170"
            },
            "192.168.1.2": {
                "ip": "192.168.1.2",
                "name": "192.168.1.2"
            },
            "192.168.1.209": {
                "ip": "192.168.1.209",
                "name": "192.168.1.209"
            },
            "192.168.1.99": {
                "ip": "192.168.1.99",
                "name": "192.168.1.99"
            },
            "MBP.lan": {
                "ip": "192.168.1.100",
                "name": "MBP.lan"
            },
            "OpenWrt": {
                "ip": "192.168.1.1",
                "name": "OpenWrt"
            },
            "miniprox.lan": {
                "ip": "192.168.1.97",
                "name": "miniprox.lan"
            },
            "pikvm.home.lan": {
                "ip": "192.168.1.87",
                "name": "pikvm.home.lan"
            }
        }
    },
    "all": {
        "children": [
            "bigprox",
            "miniprox",
            "ungrouped"
        ]
    },
    "bigprox": {
        "hosts": [
            "192.168.1.99"
        ]
    },
    "miniprox": {
        "hosts": [
            "miniprox.lan"
        ]
    },
    "ungrouped": {
        "hosts": [
            "192.168.1.112",
            "192.168.1.113",
            "192.168.1.120",
            "192.168.1.145",
            "192.168.1.170",
            "192.168.1.2",
            "192.168.1.209",
            "MBP.lan",
            "OpenWrt",
            "pikvm.home.lan"
        ]
    }
}
2023-01-18 21:14:05,769 p=91451 u=craig n=ansible | {
    "_meta": {
        "hostvars": {
            "192.168.1.112": {
                "ip": "192.168.1.112",
                "name": "192.168.1.112"
            },
            "192.168.1.113": {
                "ip": "192.168.1.113",
                "name": "192.168.1.113"
            },
            "192.168.1.120": {
                "ip": "192.168.1.120",
                "name": "192.168.1.120"
            },
            "192.168.1.145": {
                "ip": "192.168.1.145",
                "name": "192.168.1.145"
            },
            "192.168.1.170": {
                "ip": "192.168.1.170",
                "name": "192.168.1.170"
            },
            "192.168.1.2": {
                "ip": "192.168.1.2",
                "name": "192.168.1.2"
            },
            "192.168.1.209": {
                "ip": "192.168.1.209",
                "name": "192.168.1.209"
            },
            "192.168.1.99": {
                "ip": "192.168.1.99",
                "name": "192.168.1.99"
            },
            "MBP.lan": {
                "ip": "192.168.1.100",
                "name": "MBP.lan"
            },
            "OpenWrt": {
                "ip": "192.168.1.1",
                "name": "OpenWrt"
            },
            "miniprox.lan": {
                "ip": "192.168.1.97",
                "name": "miniprox.lan"
            },
            "pikvm.home.lan": {
                "ip": "192.168.1.87",
                "name": "pikvm.home.lan"
            }
        }
    },
    "all": {
        "children": [
            "bigprox",
            "miniprox",
            "ungrouped"
        ]
    },
    "bigprox": {
        "hosts": [
            "192.168.1.99"
        ]
    },
    "miniprox": {
        "hosts": [
            "miniprox.lan"
        ]
    },
    "ungrouped": {
        "hosts": [
            "192.168.1.112",
            "192.168.1.113",
            "192.168.1.120",
            "192.168.1.145",
            "192.168.1.170",
            "192.168.1.2",
            "192.168.1.209",
            "MBP.lan",
            "OpenWrt",
            "pikvm.home.lan"
        ]
    }
}
2023-01-18 21:21:36,060 p=92017 u=craig n=ansible | [WARNING]: Found both group and host with same name: OpenWrt

2023-01-18 21:21:36,085 p=92017 u=craig n=ansible | {
    "MBP_lan": {
        "hosts": [
            "MBP.lan"
        ]
    },
    "OpenWrt": {
        "hosts": [
            "OpenWrt"
        ]
    },
    "_92_168_1_1": {
        "hosts": [
            "OpenWrt"
        ]
    },
    "_92_168_1_100": {
        "hosts": [
            "MBP.lan"
        ]
    },
    "_92_168_1_112": {
        "hosts": [
            "192.168.1.112"
        ]
    },
    "_92_168_1_113": {
        "hosts": [
            "192.168.1.113"
        ]
    },
    "_92_168_1_120": {
        "hosts": [
            "192.168.1.120"
        ]
    },
    "_92_168_1_145": {
        "hosts": [
            "192.168.1.145"
        ]
    },
    "_92_168_1_170": {
        "hosts": [
            "192.168.1.170"
        ]
    },
    "_92_168_1_2": {
        "hosts": [
            "192.168.1.2"
        ]
    },
    "_92_168_1_209": {
        "hosts": [
            "192.168.1.209"
        ]
    },
    "_92_168_1_87": {
        "hosts": [
            "pikvm.home.lan"
        ]
    },
    "_92_168_1_97": {
        "hosts": [
            "miniprox.lan"
        ]
    },
    "_92_168_1_99": {
        "hosts": [
            "192.168.1.99"
        ]
    },
    "_meta": {
        "hostvars": {
            "192.168.1.112": {
                "ip": "192.168.1.112",
                "name": "192.168.1.112"
            },
            "192.168.1.113": {
                "ip": "192.168.1.113",
                "name": "192.168.1.113"
            },
            "192.168.1.120": {
                "ip": "192.168.1.120",
                "name": "192.168.1.120"
            },
            "192.168.1.145": {
                "ip": "192.168.1.145",
                "name": "192.168.1.145"
            },
            "192.168.1.170": {
                "ip": "192.168.1.170",
                "name": "192.168.1.170"
            },
            "192.168.1.2": {
                "ip": "192.168.1.2",
                "name": "192.168.1.2"
            },
            "192.168.1.209": {
                "ip": "192.168.1.209",
                "name": "192.168.1.209"
            },
            "192.168.1.99": {
                "ip": "192.168.1.99",
                "name": "192.168.1.99"
            },
            "MBP.lan": {
                "ip": "192.168.1.100",
                "name": "MBP.lan"
            },
            "OpenWrt": {
                "ip": "192.168.1.1",
                "name": "OpenWrt"
            },
            "miniprox.lan": {
                "ip": "192.168.1.97",
                "name": "miniprox.lan"
            },
            "pikvm.home.lan": {
                "ip": "192.168.1.87",
                "name": "pikvm.home.lan"
            }
        }
    },
    "all": {
        "children": [
            "bigprox",
            "miniprox",
            "proxmox_nodes",
            "ungrouped"
        ]
    },
    "bigprox": {
        "hosts": [
            "192.168.1.99"
        ]
    },
    "miniprox": {
        "hosts": [
            "miniprox.lan"
        ]
    },
    "miniprox_lan": {
        "hosts": [
            "miniprox.lan"
        ]
    },
    "pikvm_home_lan": {
        "hosts": [
            "pikvm.home.lan"
        ]
    },
    "proxmox_nodes": {
        "children": [
            "MBP_lan",
            "OpenWrt",
            "_92_168_1_1",
            "_92_168_1_100",
            "_92_168_1_112",
            "_92_168_1_113",
            "_92_168_1_120",
            "_92_168_1_145",
            "_92_168_1_170",
            "_92_168_1_2",
            "_92_168_1_209",
            "_92_168_1_87",
            "_92_168_1_97",
            "_92_168_1_99",
            "miniprox_lan",
            "pikvm_home_lan"
        ]
    }
}
2023-01-18 21:22:04,374 p=92090 u=craig n=ansible | {
    "_meta": {
        "hostvars": {
            "192.168.1.112": {
                "ip": "192.168.1.112",
                "name": "192.168.1.112"
            },
            "192.168.1.113": {
                "ip": "192.168.1.113",
                "name": "192.168.1.113"
            },
            "192.168.1.120": {
                "ip": "192.168.1.120",
                "name": "192.168.1.120"
            },
            "192.168.1.145": {
                "ip": "192.168.1.145",
                "name": "192.168.1.145"
            },
            "192.168.1.170": {
                "ip": "192.168.1.170",
                "name": "192.168.1.170"
            },
            "192.168.1.2": {
                "ip": "192.168.1.2",
                "name": "192.168.1.2"
            },
            "192.168.1.209": {
                "ip": "192.168.1.209",
                "name": "192.168.1.209"
            },
            "192.168.1.99": {
                "ip": "192.168.1.99",
                "name": "192.168.1.99"
            },
            "MBP.lan": {
                "ip": "192.168.1.100",
                "name": "MBP.lan"
            },
            "OpenWrt": {
                "ip": "192.168.1.1",
                "name": "OpenWrt"
            },
            "miniprox.lan": {
                "ip": "192.168.1.97",
                "name": "miniprox.lan"
            },
            "pikvm.home.lan": {
                "ip": "192.168.1.87",
                "name": "pikvm.home.lan"
            }
        }
    },
    "all": {
        "children": [
            "bigprox",
            "miniprox",
            "ungrouped"
        ]
    },
    "bigprox": {
        "hosts": [
            "192.168.1.99"
        ]
    },
    "miniprox": {
        "hosts": [
            "miniprox.lan"
        ]
    },
    "ungrouped": {
        "hosts": [
            "192.168.1.112",
            "192.168.1.113",
            "192.168.1.120",
            "192.168.1.145",
            "192.168.1.170",
            "192.168.1.2",
            "192.168.1.209",
            "MBP.lan",
            "OpenWrt",
            "pikvm.home.lan"
        ]
    }
}
2023-01-18 22:05:03,684 p=95339 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
2023-01-18 22:05:03,702 p=95339 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:05:05,122 p=95339 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:05,140 p=95339 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:05:05,152 p=95339 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:05,186 p=95339 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:05:05,878 p=95339 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:05,900 p=95339 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:05:06,279 p=95339 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:06,296 p=95339 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:05:06,995 p=95339 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:07,027 p=95339 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:05:07,341 p=95339 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:05:07,357 p=95339 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:05:07,368 p=95339 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:05:07,385 p=95339 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:05:14,124 p=95339 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:05:14,143 p=95339 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:05:16,531 p=95339 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:05:16,532 p=95339 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:05:16,554 p=95339 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:05:16,588 p=95339 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:05:16,623 p=95339 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:05:16,656 p=95339 u=craig n=ansible | fatal: [192.168.1.99 -> 192.168.1.4]: UNREACHABLE! => {"changed": false, "msg": "Failed to connect to the host via ssh: ssh: connect to host 192.168.1.4 port 22: Connection refused", "unreachable": true}
2023-01-18 22:05:16,657 p=95339 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:05:16,657 p=95339 u=craig n=ansible | 192.168.1.99               : ok=9    changed=4    unreachable=1    failed=0    skipped=1    rescued=0    ignored=0   
2023-01-18 22:05:27,917 p=95495 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
2023-01-18 22:05:27,934 p=95495 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:05:29,043 p=95495 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:29,060 p=95495 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:05:29,073 p=95495 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:29,103 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:05:29,841 p=95495 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:29,861 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:05:30,204 p=95495 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:30,220 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:05:30,962 p=95495 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:30,995 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:05:31,295 p=95495 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:05:31,311 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:05:31,322 p=95495 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:05:31,337 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:05:31,794 p=95495 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:31,812 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:05:32,214 p=95495 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:05:32,215 p=95495 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:05:32,237 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:05:32,262 p=95495 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:05:32,298 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:05:37,829 p=95495 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:05:37,863 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-18 22:05:38,939 p=95495 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:05:38,972 p=95495 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-18 22:06:29,915 p=95495 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:06:29,948 p=95495 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:06:30,455 p=95495 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:06:30,502 p=95495 u=craig n=ansible | TASK [Create a Caddyfile in this directory that maps adguard.home to 192.168.1.1 port 8888] *****************************************************************************************************
2023-01-18 22:06:31,084 p=95495 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:06:31,099 p=95495 u=craig n=ansible | TASK [Create a Caddy container with the Caddyfile mounted] **************************************************************************************************************************************
2023-01-18 22:06:31,562 p=95495 u=craig n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ModuleNotFoundError: No module named 'docker'
2023-01-18 22:06:31,563 p=95495 u=craig n=ansible | fatal: [192.168.1.99]: FAILED! => {"changed": false, "msg": "Failed to import the required Python library (Docker SDK for Python: docker above 5.0.0 (Python >= 3.6) or docker before 5.0.0 (Python 2.7) or docker-py (Python 2.6)) on bigprox's Python /usr/bin/python3. Please read the module documentation and install it in the appropriate location. If the required library is installed, but Ansible is using the wrong Python interpreter, please consult the documentation on ansible_python_interpreter, for example via `pip install docker` (Python >= 3.6) or `pip install docker==4.4.4` (Python 2.7) or `pip install docker-py` (Python 2.6). The error was: No module named 'docker'"}
2023-01-18 22:06:31,564 p=95495 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:06:31,564 p=95495 u=craig n=ansible | 192.168.1.99               : ok=14   changed=5    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-18 22:10:24,501 p=96033 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
2023-01-18 22:10:24,520 p=96033 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-18 22:10:25,902 p=96033 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:10:25,918 p=96033 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-18 22:10:25,931 p=96033 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:10:25,960 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-18 22:10:26,702 p=96033 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:10:26,721 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-18 22:10:27,080 p=96033 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:10:27,098 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-18 22:10:27,838 p=96033 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:10:27,869 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-18 22:10:28,173 p=96033 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-18 22:10:28,189 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-18 22:10:28,199 p=96033 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-18 22:10:28,215 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-18 22:10:28,648 p=96033 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:10:28,667 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:10:29,005 p=96033 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:10:29,005 p=96033 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:10:29,025 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:10:29,050 p=96033 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:10:29,085 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:10:31,004 p=96033 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:10:31,036 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-18 22:10:32,547 p=96033 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:10:32,577 p=96033 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-18 22:10:33,564 p=96033 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:10:33,595 p=96033 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:10:34,103 p=96033 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:10:34,147 p=96033 u=craig n=ansible | TASK [docker_lxc : Verify that the target is online/contactable] ********************************************************************************************************************************
2023-01-18 22:10:34,563 p=96033 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:10:34,592 p=96033 u=craig n=ansible | TASK [docker_lxc : Install Docker] **************************************************************************************************************************************************************
2023-01-18 22:10:49,909 p=96033 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:10:49,944 p=96033 u=craig n=ansible | TASK [docker_lxc : Enable Docker] ***************************************************************************************************************************************************************
2023-01-18 22:10:51,084 p=96033 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:10:51,111 p=96033 u=craig n=ansible | TASK [docker_lxc : Start Docker] ****************************************************************************************************************************************************************
2023-01-18 22:10:52,041 p=96033 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:10:52,090 p=96033 u=craig n=ansible | TASK [Create a Caddyfile in this directory that maps adguard.home to 192.168.1.1 port 8888] *****************************************************************************************************
2023-01-18 22:10:52,832 p=96033 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:10:52,862 p=96033 u=craig n=ansible | TASK [Create a Caddy container with the Caddyfile mounted] **************************************************************************************************************************************
2023-01-18 22:10:53,404 p=96033 u=craig n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ModuleNotFoundError: No module named 'requests'
2023-01-18 22:10:53,405 p=96033 u=craig n=ansible | fatal: [192.168.1.99 -> 192.168.1.4]: FAILED! => {"changed": false, "msg": "Failed to import the required Python library (Docker SDK for Python: docker above 5.0.0 (Python >= 3.6) or docker before 5.0.0 (Python 2.7) or docker-py (Python 2.6)) on networkdocker's Python /usr/bin/python3. Please read the module documentation and install it in the appropriate location. If the required library is installed, but Ansible is using the wrong Python interpreter, please consult the documentation on ansible_python_interpreter, for example via `pip install docker` (Python >= 3.6) or `pip install docker==4.4.4` (Python 2.7) or `pip install docker-py` (Python 2.6). The error was: No module named 'requests'"}
2023-01-18 22:10:53,406 p=96033 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-18 22:10:53,406 p=96033 u=craig n=ansible | 192.168.1.99               : ok=18   changed=5    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-01-18 22:13:04,490 p=96494 u=craig n=ansible | PLAY [Create a LXC Docker container running the official Caddy image] ***************************************************************************************************************************
